date	high	high	high	high
2019-01-02 09:30:00-05:00	150.99	150.99	150.99	150.99
2019-01-02 09:30:01-05:00	150.97	150.97	150.97	150.97
2019-01-02 09:30:02-05:00	150.97	150.97	150.97	150.97
2019-01-02 09:30:03-05:00	151.03	151.03	151.03	151.03
2019-01-02 09:30:04-05:00	151.01	151.01	151.01	151.01
2019-01-02 09:30:05-05:00	150.94	150.94	150.94	150.94
2019-01-02 09:30:06-05:00	150.97	150.97	150.97	150.97
2019-01-02 09:30:07-05:00	150.95	150.95	150.95	150.95
2019-01-02 09:30:08-05:00	150.95	150.95	150.95	150.95
2019-01-02 09:30:09-05:00	150.96	150.96	150.96	150.96
2019-01-02 09:30:10-05:00	150.99	150.99	150.99	150.99
2019-01-02 09:30:11-05:00	151	151	151	151
2019-01-02 09:30:12-05:00	150.99	150.99	150.99	150.99
2019-01-02 09:30:13-05:00	150.97	150.97	150.97	150.97
2019-01-02 09:30:14-05:00	150.98	150.98	150.98	150.98
2019-01-02 09:30:15-05:00	150.97	150.97	150.97	150.97
2019-01-02 09:30:16-05:00	150.95	150.95	150.95	150.95
2019-01-02 09:30:17-05:00	150.98	150.98	150.98	150.98
2019-01-02 09:30:18-05:00	151	151	151	151
2019-01-02 09:30:19-05:00	151	151	151	151
2019-01-02 09:30:20-05:00	151	151	151	151
2019-01-02 09:30:21-05:00	151.04	151.04	151.04	151.04
2019-01-02 09:30:22-05:00	151.08	151.08	151.08	151.08
2019-01-02 09:30:23-05:00	151.09	151.09	151.09	151.09
2019-01-02 09:30:24-05:00	151.08	151.08	151.08	151.08
2019-01-02 09:30:25-05:00	151.11	151.11	151.11	151.11
2019-01-02 09:30:26-05:00	151.15	151.15	151.15	151.15
2019-01-02 09:30:27-05:00	151.13	151.13	151.13	151.13
2019-01-02 09:30:28-05:00	151.13	151.13	151.13	151.13
2019-01-02 09:30:29-05:00	151.1	151.1	151.1	151.1
2019-01-02 09:30:30-05:00	151.09	151.09	151.09	151.09
